JAR,AMENDMENT,TRT,DAY,HOUR,X12C,X13C
106,PHENOL,DL,12,280,380.9895368,4.28505482
107,PHENOL,DL,12,280,346.7990112,3.9384793
108,PHENOL,DL,12,280,342.030515,3.971149472
115,CELLULOSE,NI,12,280,213.2017478,2.020938722
116,CELLULOSE,NI,12,280,203.850828,2.195793382
117,CELLULOSE,NI,12,280,187.1055142,1.965948817
133,OXALATE,NI,12,280,201.4805511,14.51672602
134,OXALATE,NI,12,280,196.0845625,13.72926615
135,OXALATE,NI,12,280,195.7109796,12.89950444
142,PHENOL,NI,12,280,221.529118,4.482477239
143,PHENOL,NI,12,280,207.4442806,4.349797491
144,PHENOL,NI,12,280,162.8355275,3.653501262
151,CELLULOSE,NR,12,280,288.2195122,2.715423252
152,CELLULOSE,NR,12,280,287.4260219,2.622680622
153,CELLULOSE,NR,12,280,252.6436037,2.071555451
169,OXALATE,NR,12,280,303.1950348,14.36436695
170,OXALATE,NR,12,280,356.779793,15.18706587
171,OXALATE,NR,12,280,332.1000977,14.29974018
178,PHENOL,NR,12,280,276.9031014,3.833747698
179,PHENOL,NR,12,280,253.2678286,3.606160642
180,PHENOL,NR,12,280,249.4866327,3.524657549
7,CELLULOSE,CTL,13,304,272.4584206,1.191738875
8,CELLULOSE,CTL,13,304,320.6092344,1.124739246
9,CELLULOSE,CTL,13,304,260.0710822,0.845763115
25,OXALATE,CTL,13,304,310.085534,15.10622694
26,OXALATE,CTL,13,304,327.9213019,12.52292582
27,OXALATE,CTL,13,304,293.8567322,11.39948738
34,PHENOL,CTL,13,304,297.3183748,3.596755944
35,PHENOL,CTL,13,304,280.7749473,3.689459973
36,PHENOL,CTL,13,304,332.3365705,3.931415603
43,CELLULOSE,DW,13,304,400.559184,0.847482117
44,CELLULOSE,DW,13,304,336.2556544,1.370052919
45,CELLULOSE,DW,13,304,435.5718747,0.88916383
61,OXALATE,DW,13,304,443.2228757,14.43523484
